EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Type,Subtype,Description,Values,,,,,,,Latitude,Longitude,GPS HDOP
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_HR2_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Line Voltage (V),Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,HR2-180 461356 2024-07-29 173639.vdat,04773086-3519-4f4b-a8bb-26d9e83c8277,com.vemco.file.vrdp.vrhr2/1.0.0,53189,ORIGINAL
DIAG_HR2,2024-07-28 14:00:00,2024-07-28 13:59:59.986157,,-0.013842766,HR2-180,461356,98,20,0,4,0,0,0,0,12
TEMP,2024-07-28 14:00:00,2024-07-28 13:59:59.986157,,-0.013842766,HR2-180,461356,28.6,29.2
ATTITUDE,2024-07-28 14:00:00,2024-07-28 13:59:59.986157,,-0.013842766,HR2-180,461356,98
DIAG_HR2,2024-07-28 14:10:00,2024-07-28 14:09:59.983922,,-0.016077272,HR2-180,461356,99,20,0,4,0,0,0,0,12
TEMP,2024-07-28 14:10:00,2024-07-28 14:09:59.983922,,-0.016077272,HR2-180,461356,28.6,29.2
ATTITUDE,2024-07-28 14:10:00,2024-07-28 14:09:59.983922,,-0.016077272,HR2-180,461356,99
DIAG_HR2,2024-07-28 14:20:00,2024-07-28 14:19:59.981688,,-0.018311778,HR2-180,461356,94,20,0,3,0,0,0,0,12
TEMP,2024-07-28 14:20:00,2024-07-28 14:19:59.981688,,-0.018311778,HR2-180,461356,28.6,29.3
ATTITUDE,2024-07-28 14:20:00,2024-07-28 14:19:59.981688,,-0.018311778,HR2-180,461356,94
DET,2024-07-28 14:27:14.137435,2024-07-28 14:27:14.117506,,-0.019928583,HR2-180,461356,3,HR,H170-1802-62358,62358,,,22.7,20.4,,4,,,,
DIAG_HR2,2024-07-28 14:30:00,2024-07-28 14:29:59.979453,,-0.020546284,HR2-180,461356,98,20,1,3,5,0,0,0,12
TEMP,2024-07-28 14:30:00,2024-07-28 14:29:59.979453,,-0.020546284,HR2-180,461356,28.6,29.2
ATTITUDE,2024-07-28 14:30:00,2024-07-28 14:29:59.979453,,-0.020546284,HR2-180,461356,98
DET,2024-07-28 14:33:52.893524,2024-07-28 14:33:52.87211,,-0.021413621,HR2-180,461356,3,HR,H170-1802-62358,62358,,,23.8,20.3,,3,,,,
DIAG_HR2,2024-07-28 14:40:00,2024-07-28 14:39:59.977219,,-0.022780790,HR2-180,461356,101,24.5,1,6,1,0,0,0,13.5
TEMP,2024-07-28 14:40:00,2024-07-28 14:39:59.977219,,-0.022780790,HR2-180,461356,28.5,29.3
ATTITUDE,2024-07-28 14:40:00,2024-07-28 14:39:59.977219,,-0.022780790,HR2-180,461356,101
DET,2024-07-28 14:44:55.403686,2024-07-28 14:44:55.379805,,-0.023880926,HR2-180,461356,3,HR,H170-1802-62358,62358,,,23.6,20.5,,3,,,,
DET,2024-07-28 14:46:51.031784,2024-07-28 14:46:51.007472,,-0.024311546,HR2-180,461356,3,HR,H170-1802-62358,62358,,,37.3,49.2,,4,,,,
DET,2024-07-28 14:49:37.908615,2024-07-28 14:49:37.883681,,-0.024933024,HR2-180,461356,3,HR,H170-1802-62358,62358,,,39.8,22.2,,7,,,,
DIAG_HR2,2024-07-28 14:50:00,2024-07-28 14:49:59.974984,,-0.025015297,HR2-180,461356,19,20,3,3,0,0,0,0,12
TEMP,2024-07-28 14:50:00,2024-07-28 14:49:59.974984,,-0.025015297,HR2-180,461356,29.2,29.3
ATTITUDE,2024-07-28 14:50:00,2024-07-28 14:49:59.974984,,-0.025015297,HR2-180,461356,19
DET,2024-07-28 14:51:21.718307,2024-07-28 14:51:21.692987,,-0.025319630,HR2-180,461356,2,PPM,A180-1702-62358,62358,,,,,,,,,,
DET,2024-07-28 14:51:29.785415,2024-07-28 14:51:29.760065,,-0.025349673,HR2-180,461356,3,HR,H170-1802-62358,62358,,,37.9,21.9,,5,,,,
DIAG_HR2,2024-07-28 15:00:00,2024-07-28 14:59:59.97275,,-0.027249803,HR2-180,461356,13,20,1,7,12,1,10,1,12
TEMP,2024-07-28 15:00:00,2024-07-28 14:59:59.97275,,-0.027249803,HR2-180,461356,30.7,29.7
ATTITUDE,2024-07-28 15:00:00,2024-07-28 14:59:59.97275,,-0.027249803,HR2-180,461356,13
DET,2024-07-28 15:01:11.669387,2024-07-28 15:01:11.64187,,-0.027516712,HR2-180,461356,3,HR,H170-1802-62358,62358,,,40.7,22.3,,7,,,,
DET,2024-07-28 15:02:09.170242,2024-07-28 15:02:09.142511,,-0.027730856,HR2-180,461356,3,HR,H170-1802-62358,62358,,,37,21.7,,4,,,,
DET,2024-07-28 15:02:16.61679,2024-07-28 15:02:16.589031,,-0.027758588,HR2-180,461356,2,PPM,A180-1702-62358,62358,,,,,,,,,,
DET,2024-07-28 15:06:42.299423,2024-07-28 15:06:42.270674,,-0.028748037,HR2-180,461356,3,HR,H170-1802-62358,62358,,,38.3,22,,7,,,,
DIAG_HR2,2024-07-28 15:10:00,2024-07-28 15:09:59.970515,,-0.029484309,HR2-180,461356,21,20,3,6,15,1,7,0,12
TEMP,2024-07-28 15:10:00,2024-07-28 15:09:59.970515,,-0.029484309,HR2-180,461356,30.3,29.7
ATTITUDE,2024-07-28 15:10:00,2024-07-28 15:09:59.970515,,-0.029484309,HR2-180,461356,21
DIAG_HR2,2024-07-28 15:20:00,2024-07-28 15:19:59.968281,,-0.031718815,HR2-180,461356,68,20,0,3,0,0,0,0,12
TEMP,2024-07-28 15:20:00,2024-07-28 15:19:59.968281,,-0.031718815,HR2-180,461356,29.2,29.6
ATTITUDE,2024-07-28 15:20:00,2024-07-28 15:19:59.968281,,-0.031718815,HR2-180,461356,68
DIAG_HR2,2024-07-28 15:30:00,2024-07-28 15:29:59.966046,,-0.033953321,HR2-180,461356,69,20,0,7,0,0,0,0,12
TEMP,2024-07-28 15:30:00,2024-07-28 15:29:59.966046,,-0.033953321,HR2-180,461356,28.3,29.1
ATTITUDE,2024-07-28 15:30:00,2024-07-28 15:29:59.966046,,-0.033953321,HR2-180,461356,69
DIAG_HR2,2024-07-28 15:40:00,2024-07-28 15:39:59.963812,,-0.036187827,HR2-180,461356,68,20,0,7,0,0,0,0,12
TEMP,2024-07-28 15:40:00,2024-07-28 15:39:59.963812,,-0.036187827,HR2-180,461356,27.8,28.7
ATTITUDE,2024-07-28 15:40:00,2024-07-28 15:39:59.963812,,-0.036187827,HR2-180,461356,68
DIAG_HR2,2024-07-28 15:50:00,2024-07-28 15:49:59.961577,,-0.038422333,HR2-180,461356,68,20,0,8,0,0,0,0,12
